45,19,42,20717,
40,50,27,32103,
41,87,28,9467,
28,68,91,18477,
41,76,24,914,
43,10,12,24478,
37,74,98,11146,
30,67,28,2662,
40,23,79,8742,
24,88,59,7865,
21,36,24,2753,
47,77,59,3511,
34,92,46,11350,
20,98,54,7303,
37,71,48,5440,
28,61,93,28647,
40,45,25,8126,
49,76,85,32536,
22,24,52,20728,
49,57,77,1989,
38,21,40,9543,
45,14,44,17592,
43,68,24,827,
40,27,62,17314,
47,45,14,11471,
46,88,46,7705,
31,89,36,6061,
49,84,71,27267,
39,81,80,8807,
39,95,98,18843,
23,96,61,13622,
32,27,84,17138,
22,89,57,24695,
35,90,60,12113,
50,71,91,15469,
38,21,64,3019,
20,53,95,13277,
47,84,23,16319,
20,45,22,6762,
41,91,42,5663,
20,40,87,9128,
33,25,56,7711,
23,43,12,4977,
40,11,19,3636,
28,60,78,9063,
26,36,90,26200,
24,35,67,3718,
34,56,84,5666,
31,20,64,9151,
36,90,14,6985,
23,83,20,16998,
27,93,84,7731,
30,53,90,2098,
43,60,35,8043,
37,38,41,12273,
38,93,70,5458,
24,15,38,8989,
24,73,45,16354,
46,56,13,28686,
21,26,59,18974,
46,97,23,8041,
24,30,92,5102,
39,86,46,6009,
39,53,86,5870,
28,38,89,9143,
39,50,90,14698,
45,57,82,2217,
31,76,86,16013,
25,100,55,5475,
37,32,32,8620,
32,31,10,12849,
48,45,86,5809,
36,79,74,12461,
38,10,76,17924,
39,87,65,8279,
32,70,87,5509,
20,32,94,14735,
22,77,69,14160,
47,83,20,9306,
44,67,19,14411,
31,73,80,9633,
27,27,44,12980,
37,57,44,3302,
39,59,100,13371,
29,67,99,3152,
28,16,12,5143,
41,16,26,27077,
32,90,68,8645,
48,24,99,8689,
46,24,76,25794,
38,18,29,6405,
33,53,58,2166,
44,89,37,17960,
44,64,10,19961,
21,12,80,7715,
42,68,97,16285,
31,64,71,10004,
34,93,15,12814,
48,80,84,12040,
20,13,23,7583,
41,98,43,9696,
36,45,17,3883,
45,91,71,130,
25,13,30,12836,
31,77,42,5088,
34,95,25,8739,
30,69,48,6007,
40,11,90,13341,
21,39,35,3313,
30,94,78,14441,
41,32,48,652,
33,27,49,8894,
40,12,32,8602,
28,96,44,21335,
23,38,82,13931,
43,11,59,10221,
33,16,14,13965,
28,26,83,4590,
26,75,31,1750,
36,69,33,5801,
25,91,18,17913,
39,73,35,32656,
33,65,16,4776,
33,34,92,12648,
42,31,28,10294,
46,43,38,4983,
38,22,44,12435,
33,65,50,11125,
27,35,17,2967,
20,100,97,11869,
29,49,85,13740,
31,25,15,4439,
46,77,60,2653,
22,40,100,16135,
34,45,100,10882,
41,70,12,9204,
49,49,16,34858,
22,41,16,14085,
37,26,44,14086,
48,17,42,12859,
47,17,57,11947,
38,24,50,11897,
34,35,83,6556,
40,70,88,17553,
29,99,91,9332,
29,25,59,13336,
46,18,68,17061,
48,84,37,9010,
43,19,43,19360,
48,40,52,22244,
29,94,20,1440,
40,96,34,12045,
37,89,62,6191,
37,54,83,10663,
38,29,88,11139,
48,59,87,6857,
47,37,92,10968,
21,100,82,8352,
42,99,31,2352,
24,87,46,10577,
50,19,61,9956,
38,67,66,6558,
27,63,22,6811,
25,89,76,23928,
47,48,42,8589,
20,62,79,7770,
34,23,89,8849,
25,94,57,2649,
25,79,48,26461,
41,81,69,2853,
42,60,65,21802,
48,62,43,14835,
34,75,83,14073,
39,97,35,6367,
48,14,72,20230,
20,82,86,13351,
38,67,75,11612,
50,87,37,17469,
25,78,29,10971,
47,18,74,18260,
49,67,34,20342,
27,78,59,22763,
36,49,65,6417,
25,54,61,16079,
46,30,87,13370,
40,53,96,29033,
38,99,88,14616,
49,80,34,29099,
20,53,73,4656,
22,92,31,17562,
30,99,24,41541,
35,87,42,26571,
47,59,53,13272,
24,58,12,22932,
20,69,92,9298,
38,81,57,12859,
36,54,25,4888,
35,98,62,8098,
44,66,85,5834,
49,72,22,24001,
